,username,forum_name,numbers,all_chunks,all_meaningful_chunks,chunks,transformed_chunks,meaningful_chunks,transformed_meaningful_chunks
0,painkiller,oc,,painkiller,painkiller,painkiller,painkiller,painkiller,painkiller
1,ihatehissite,oc,,ihatehissite,"site,hate,his,i",ihatehissite,ihatehissite,"i,hate,his,site","site,hate,his,i"
2,Pratham,oc,,pratham,,pratham,pratham,,
3,Dark TruTH,oc,,"truth,dark","truth,dark","dark,truth","truth,dark","dark,truth","truth,dark"
4,Swapnil Haxor,oc,,"swapnil,haxor","swap,nil,or","swapnil,haxor","swapnil,haxor","swap,nil,or","swap,nil,or"
5,ravi0225,oc,0225,ravi,,ravi,ravi,,
6,Drax00,oc,00,drax,,drax,drax,,
7,elite92,oc,92,elite,elite,elite,elite,elite,elite
8,Satyajit Biswas,oc,,"biswas,satyajit",,"satyajit,biswas","biswas,satyajit",,
9,sh4downet,oc,,"shadownet,sh4downet,shrdownet","net,down,shadow",sh4downet,"shadownet,shrdownet",,"net,down,shadow"
10,Phoenix,oc,,phoenix,phoenix,phoenix,phoenix,phoenix,phoenix
11,Pritam71,oc,71,pritam,,pritam,pritam,,
12,Mr.HacKer,oc,,"mr,hacker",hacker,"mr,hacker","mr,hacker",hacker,hacker
13,tonnik49,oc,49,tonnik,ton,tonnik,tonnik,ton,ton
14,DeadManIndia,oc,,deadmanindia,"dead,man",deadmanindia,deadmanindia,"dead,man","dead,man"
15,Argos,oc,,argos,,argos,argos,,
16,winrar,oc,,winrar,,winrar,winrar,,
17,skphero,oc,,skphero,hero,skphero,skphero,hero,hero
18,sweetboy1,oc,,"sweetboyt,sweetboyi,sweetboyl,sweetboy1","sweet,boy,l,i",sweetboy1,"sweetboyt,sweetboyi,sweetboyl",sweet,"sweet,i,l,boy"
19,sharp001,oc,001,sharp,sharp,sharp,sharp,sharp,sharp
20,thomas,oc,,thomas,,thomas,thomas,,
21,DrSpy,oc,,drspy,spy,drspy,drspy,spy,spy
22,TinCode,oc,,tincode,"tin,code",tincode,tincode,"tin,code","tin,code"
23,locator1961,oc,1961,locator,locator,locator,locator,locator,locator
24,security,oc,,security,security,security,security,security,security
25,luckmangamer,oc,,luckmangamer,,luckmangamer,luckmangamer,,
26,Sarfroz,oc,,sarfroz,,sarfroz,sarfroz,,
27,bullbuster,oc,,bullbuster,"bull,buster",bullbuster,bullbuster,"bull,buster","bull,buster"
28,aali90,oc,90,aali,a,aali,aali,a,a
29,error121,oc,121,error,error,error,error,error,error
30,Rockstar Vishal,oc,,"vishal,rockstar",,"rockstar,vishal","vishal,rockstar",,
31,med_bad_boy,oc,,"bad,med,boy","bad,boy","med,bad,boy","bad,med,boy","bad,boy","bad,boy"
32,shadow11,oc,11,shadow,shadow,shadow,shadow,shadow,shadow
33,nightmare,oc,,nightmare,nightmare,nightmare,nightmare,nightmare,nightmare
34,iamalone123123,oc,123123,iamalone,"am,alone,i",iamalone,iamalone,"i,am,alone","am,alone,i"
35,Tony,oc,,tony,tony,tony,tony,tony,tony
36,levito88778,oc,88778,levito,to,levito,levito,to,to
37,Ajax,oc,,ajax,,ajax,ajax,,
38,Dark,oc,,dark,dark,dark,dark,dark,dark
39,zimbra,oc,,zimbra,,zimbra,zimbra,,
40,privateloader,oc,,privateloader,"loader,private",privateloader,privateloader,"private,loader","loader,private"
41,AVILBOT,oc,,avilbot,"bot,a",avilbot,avilbot,"a,bot","bot,a"
42,Amanat Khan,oc,,"amanat,khan","man,at,khan,a","amanat,khan","amanat,khan","a,man,at,khan","man,at,khan,a"
43,montana,oc,,montana,montana,montana,montana,montana,montana
44,Mehdiii,oc,,mehdiii,,mehdiii,mehdiii,,
45,prasanna,oc,,prasanna,,prasanna,prasanna,,
46,realbusiness87,oc,87,realbusiness,"business,real",realbusiness,realbusiness,"real,business","business,real"
47,markswe,oc,,markswe,we,markswe,markswe,we,we
48,Vilhelm,oc,,vilhelm,,vilhelm,vilhelm,,
49,teamgfx,oc,,teamgfx,team,teamgfx,teamgfx,team,team
50,N3t Att4ck3r,oc,,"attacker,att4ck3r,attacksr,n3t,net,attrcker,attrcksr,nst","net,attacker,r","n3t,att4ck3r","attacker,attacksr,net,attrcker,attrcksr,nst",,"net,attacker,r"
51,Mr.PERSIA,oc,,"mr,persia",,"mr,persia","mr,persia",,
52,hacsogen,oc,,hacsogen,"so,gen",hacsogen,hacsogen,"so,gen","so,gen"
53,Dina Omar Afifi,oc,,"dina,omar,afifi",,"dina,omar,afifi","dina,omar,afifi",,
54,neoh4ker,oc,,"neoh4ker,neohrker,neohaker",neo,neoh4ker,"neohrker,neohaker",,neo
55,Ph,oc,,ph,,ph,ph,,
56,n33r4z,oc,,"neeraz,n33r4z,neerrz,nssrrz,nssraz","z,neer",n33r4z,"neeraz,neerrz,nssraz,nssrrz",,"z,neer"
57,gwuapmaker,oc,,gwuapmaker,maker,gwuapmaker,gwuapmaker,maker,maker
58,pianoallegro123,oc,123,pianoallegro,"piano,allegro",pianoallegro,pianoallegro,"piano,allegro","piano,allegro"
59, c0d3r,oc,,"coder,c0d3r,codsr","coder,cod",c0d3r,"coder,codsr",,"coder,cod"
60,rafaelcarioca7,oc,,rafaelcarioca7,,rafaelcarioca7,rafaelcarioca7,,
