username,word_segment,punctuation_segment,numeric_segment,reverse,slangify,merge
painkiller,painkiller,painkiller,,rellikniap,,painkiller rellikniap
ihatehissite,"his,site,i,hate",ihatehissite,,etissihetahi,,ihatehissite i his hate etissihetahi site
Pratham,pratham,pratham,,mahtarp,,pratham mahtarp
Dark TruTH,"truth,dark","truth,dark",,hturt krad,,hturt krad truth dark
Swapnil Haxor,"hax,or,nil,swap","haxor,swapnil",,roxah linpaws,,haxor nil swap hax swapnil roxah linpaws or
ravi0225,ravi0225,ravi0225,"0225,ravi",ivar,,ravi0225 ravi 0225 ivar
Drax00,drax00,drax00,"drax,00",xard,,drax00 drax xard 00
elite92,"elite,92",elite92,"elite,92",etile,,elite92 etile elite 92
Satyajit Biswas,"biswas,satyajit","biswas,satyajit",,sawsib tijaytas,,biswas satyajit sawsib tijaytas
sh4downet,sh4downet,sh4downet,,tenwod4hs,"shadownet,net,shr,down,shadow,et,shrdownet",shrdownet net shr down sh4downet shadow tenwod4hs et shadownet
Phoenix,phoenix,phoenix,,xineohp,,phoenix xineohp
Pritam71,pritam71,pritam71,"pritam,71",matirp,,pritam71 matirp 71 pritam
Mr.HacKer,"mr,hacker","mr,hacker",,rekcah.rm,,mr rekcah.rm hacker
tonnik49,"nnik49,to",tonnik49,"49,nik,ton",kinnot,,to nik tonnik49 kinnot 49 ton nnik49
DeadManIndia,"india,dead,man",deadmanindia,,aidninamdaed,,india  dead man deadmanindia aidninamdaed
Argos,argos,argos,,sogra,,sogra argos
winrar,winrar,winrar,,rarniw,,winrar rarniw
skphero,"hero,skp",skphero,,orehpks,,hero skphero orehpks skp
sweetboy1,"sweet,boy1",sweetboy1,"boy,sweet,1",yobteews,"i,sweetboyi,boy,boyt,l,sweet,sweetboyt,sweetboyl",i sweetboyi boy sweetboy1 1 l sweet yobteews sweetboyt boyt sweetboyl boy1
sharp001,"001,sharp",sharp001,"001,sharp",prahs,,sharp001 prahs 001 sharp
thomas,thomas,thomas,,samoht,,samoht thomas
DrSpy,"dr,spy",drspy,,ypsrd,,spy dr ypsrd drspy
