,username,forums,count
0,alan,"['./data/hack_this_site', './data/ethical_hacker', './data/security_stack_exchange']",3
1,guest,"['./data/unix_stackexchange', './data/wilderssecurity', './data/security_stack_exchange']",3
2,jason,"['./data/unix_stackexchange', './data/ethical_hacker', './data/security_stack_exchange']",3
3,joker,"['./data/offensive_community', './data/unix_stackexchange', './data/security_stack_exchange']",3
4,jonas,"['./data/unix_stackexchange', './data/ethical_hacker', './data/security_stack_exchange']",3
5,slm,"['./data/unix_stackexchange', './data/hack_this_site', './data/security_stack_exchange']",3
6,test,"['./data/wilderssecurity', './data/ethical_hacker', './data/security_stack_exchange']",3
7,thomas,"['./data/offensive_community', './data/unix_stackexchange', './data/security_stack_exchange']",3
8,0xsheepdog,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
9,111,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
10,200-success,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
11,404,"['./data/offensive_community', './data/security_stack_exchange']",2
12,4m1nh4j1,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
13,81,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
14,81ngel,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
15,82-krypa,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
16,83,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
17,84ski,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
18,87,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
19,Fascination,"['./data/hack_this_site', './data/ethical_hacker']",2
20,GoldenSunKing,"['./data/hack_this_site', './data/ethical_hacker']",2
21,MaxwellSmart,"['./data/wilderssecurity', './data/ethical_hacker']",2
22,Oceans80,"['./data/hack_this_site', './data/ethical_hacker']",2
23,Power,"['./data/mpgh', './data/hack_this_site']",2
24,Rafales,"['./data/wilderssecurity', './data/ethical_hacker']",2
25,Schiz0id,"['./data/hack_this_site', './data/ethical_hacker']",2
26,Securex,"['./data/hack_this_site', './data/ethical_hacker']",2
27,SephStorm,"['./data/hack_this_site', './data/ethical_hacker']",2
28,Tony,"['./data/offensive_community', './data/wilderssecurity']",2
29,a-b,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
30,a-coder,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
31,a1,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
32,a1k,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
33,a9,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
34,a9-werlang,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
35,a9bastien-renauld,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
36,a9e-ravier,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
37,a9ment,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
38,a9phane-chazelas,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
39,a9rez,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
40,aabee,"['./data/offensive_community', './data/ethical_hacker']",2
41,aam,"['./data/wilderssecurity', './data/security_stack_exchange']",2
42,aaron-cicali,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
43,abdullah-alm,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
44,ace,"['./data/hack_this_site', './data/security_stack_exchange']",2
45,adam,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
46,adam-katz,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
47,adguez,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
48,adi,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
49,adk,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
50,adrelanos,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
51,affe,"['./data/wilderssecurity', './data/security_stack_exchange']",2
52,agc,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
53,akhil,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
54,akito,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
55,alberto-salvia-novella,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
56,ale,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
57,alex,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
58,alex-chamberlain,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
59,alex-d,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
60,alex-ixeras,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
61,alex-p,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
62,alex-r,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
63,alexander,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
64,alexander-mills,"['./data/unix_stackexchange', './data/security_stack_exchange']",2
