,username,sentiment
0,painkiller,neutral
1,ihatehissite,neutral
2,Pratham,neutral
3,Dark TruTH,neutral
4,Swapnil Haxor,neutral
5,ravi0225,neutral
6,Drax00,neutral
7,elite92,neutral
8,Satyajit Biswas,neutral
9,sh4downet,neutral
10,Phoenix,neutral
11,Pritam71,neutral
12,Mr.HacKer,neutral
13,tonnik49,neutral
14,DeadManIndia,neutral
15,Argos,neutral
16,winrar,neutral
17,skphero,neutral
18,sweetboy1,positive
19,sharp001,positive
20,thomas,neutral
21,DrSpy,neutral
22,TinCode,neutral
23,locator1961,neutral
24,security,neutral
25,luckmangamer,neutral
26,Sarfroz,neutral
27,bullbuster,neutral
28,aali90,neutral
29,error121,negative
30,Rockstar Vishal,neutral
31,med_bad_boy,neutral
32,shadow11,neutral
33,nightmare,negative
34,iamalone123123,neutral
35,Tony,neutral
36,levito88778,neutral
37,Ajax,neutral
38,Dark,neutral
39,zimbra,neutral
40,privateloader,neutral
41,AVILBOT,neutral
42,Amanat Khan,neutral
43,montana,neutral
44,Mehdiii,neutral
45,prasanna,neutral
46,realbusiness87,neutral
47,markswe,neutral
48,Vilhelm,neutral
49,teamgfx,neutral
50,N3t Att4ck3r,neutral
51,Mr.PERSIA,neutral
52,hacsogen,neutral
53,Dina Omar Afifi,neutral
54,neoh4ker,neutral
55,Ph,neutral
56,n33r4z,neutral
57,gwuapmaker,neutral
58,pianoallegro123,neutral
59, c0d3r,neutral
60,rafaelcarioca7,neutral
61,Sreeram Havoc,neutral
62,Wasim Akram,neutral
63,aabee,neutral
64,Ir1337,neutral
65,abbio4real,neutral
66,arcbal,neutral
67,silverstone,neutral
68,oviezane,neutral
69,~Drana~,neutral
70,Chirag Sukhala,neutral
71,Jack Johnson,neutral
72,soonk,neutral
73,mhu.w4rl0ck,neutral
74,RDGMax,neutral
75,procoder,neutral
76,marutirao1,neutral
77,p7771,neutral
78,Remi Girard,neutral
79,zawawy,neutral
80,Marcin Er,neutral
81,besttechnoblog,neutral
82,g00dv3ndr,neutral
83,hack3core,neutral
84,Neeraj Kumar Lodhi,neutral
85,sinfullgatsby,neutral
86,keech,neutral
87,Hacking King,neutral
88,Karan Kumar,neutral
89,Mohit Singh,neutral
90,InTrUd3r,neutral
91,Canyon,neutral
92,Bhupesh,neutral
93,Lu Ka Lay,neutral
94,mr.ego,neutral
95,saket.king,neutral
96,cdonou,neutral
97,coindaylol,neutral
98,The Blake,neutral
99,mariosg7arta,neutral
100,delamar04,neutral
101,lpcgang,neutral
102,vbhootna1,neutral
103,Culleen Perez,neutral
104,inkbird,neutral
105,evanscott,neutral
106,blackhat,neutral
107,Diabl0,neutral
108,Kasparov,neutral
109,tnieiasAAC/k,neutral
110,xp1910,neutral
111,Himanshu Yadav,neutral
112,Gorkem,neutral
113,Thomas4,neutral
114,hh486,neutral
115,Gar,neutral
116,Tesd Dunn,neutral
117,Qovuqa,neutral
118,Daredevil,neutral
119,abarznji,neutral
120,MrBang,neutral
121,prpellr,neutral
122,Internet,neutral
123,smartyyadav,neutral
124,Roger_Rabbit1337,neutral
125,arjunkhanna29,neutral
126,Jacob,neutral
127,hjepsjga_94,neutral
128,tornado,neutral
129,$root,neutral
130,mcmanuel20,neutral
131,Neeraj Punjabi,neutral
132,kbt0000,neutral
133,oba11,neutral
134,Night Rid3r,neutral
135,nptest,neutral
136,secretsquirell,neutral
137,sirius64,neutral
138,vps.cracker,neutral
139,Foksi,neutral
140,Raj Haraniya,neutral
141,JohnDoe,neutral
142,unbelieve,neutral
143,KasaLP,neutral
144,jegr said,neutral
145,pirateprince,neutral
146,tutmoses,neutral
147,Noobusinghacks,neutral
148,wapfalls,neutral
149,krugerhacker,neutral
150,ziamulyana2,neutral
151,Navjeet Rathore,neutral
152,rafiqctg2038,neutral
153,cyberghost,neutral
154,noob0x3,neutral
155,markben390,neutral
156,FAA!bio Bagattoli,neutral
157,nae,neutral
158,bourdj,neutral
159,Anuraj Vklm,neutral
160,Mortal Zeus,neutral
161,Makinged,neutral
162,blackzorro,neutral
163,Nsycak Owo Gcfr Snr,neutral
164,Dato Japharidze,neutral
165,pianistanero,neutral
166,ByCoder,neutral
167,#zer0,neutral
168,FloodSys,neutral
169,SystemX,neutral
170,rainbowconnect,neutral
171,mdmsd2,neutral
172,Malik Ubaid,neutral
173,gnaikmailbox,neutral
174,rel.vendor,neutral
175,Slilsis,neutral
176,Patel,neutral
177,canino1997,neutral
178,w266,neutral
179,GULJANJAN,neutral
180,Albert Ruzvelt,neutral
181,ipadlover99,neutral
182,AN0N.PH03N1X,neutral
183,goodhacker,neutral
184,Medicalsoftware,neutral
185,geekmango,neutral
186,3qrab12,neutral
187,jarbukk1,neutral
188,sathyaZ,neutral
189,jackregan1,neutral
190,hacker.nima,neutral
191,cybdom,neutral
192,jjoorriissjjuuhh,neutral
193,sirrobinho,neutral
194,Leaf,neutral
195,jinxrr,neutral
196,Had3z,neutral
197,Tabakk,neutral
198,zabadak,neutral
199,-=_ Cyber Warrior _=-,neutral
200,crucio07,neutral
201,thewebrat,neutral
202,Kilaz,neutral
203,Creed,neutral
204,HardTrickySecurity,neutral
205,desswilly,neutral
206,provider,neutral
207,toodast123,neutral
208,rockboy69,neutral
209,Ghost_lite,neutral
