{'name': 'centip3de'},tips
{'name': 'frag4lot'},lot
{'name': 'Shadow545'},shadows
{'name': 'Eno2008'},zoo
{'name': 'eweb100'},web
{'name': 'AWasteofL1f3'},life
{'name': 'tj styles1'},style
{'name': 'codie93'},dies
{'name': 'roc314'},eta
{'name': 'hackuin60s'},nos
{'name': '3nIGhost'},names
{'name': 'alboballa23'},bob
{'name': 'tw1928'},wiz
{'name': '-PL4GUE-'},plague
{'name': '133794m3r'},leer
{'name': 'ex0du5'},exodus
{'name': 'd3ad1y_miyaru'},dead
{'name': 's3klyma'},name
{'name': 'digadogb1'},dig
{'name': 'manumax49'},man
{'name': '4rm4g3dd0n'},don
{'name': 'snowiscold1'},now
{'name': 'max_1250'},maxi
{'name': 'ra1ph'},rat
{'name': '-The-Pr0xz-'},pro
{'name': 'Phant0ms'},phantoms
{'name': 'Fors4ken'},for
{'name': 'potatoman123'},man
{'name': 'aNewHobby4me'},new
{'name': 'EN3RGY'},energy
{'name': 'anon10ofhearts'},non
{'name': 'BSK712'},ski
{'name': 'SP534'},name
{'name': 'v4ry5'},vary
{'name': 'SWIV3Lone'},swivel
{'name': 'nishu1011'},shut
{'name': 'Jackie0433'},ass
{'name': 'Version_3'},versions
{'name': 'f4nt0mh43d'},has
{'name': 'pack3t'},packet
{'name': 'masonga95'},gas
{'name': 's91by'},name
{'name': 'Enzime59'},mes
{'name': 'T3hR34p3r'},reaper
{'name': 'CrA2Y'},crazy
{'name': 'butch_18445'},but
{'name': 'z3r0p4r4d0x'},zero
{'name': 'ef2080'},zoo
{'name': 'f0rSs4k3n'},ken
{'name': 'danda1man'},man
{'name': 'go4mines'},amines
{'name': 'Sh0cKz'},shock
{'name': 'blobinator11'},tort
{'name': 'Mistara31415'},stats
{'name': 'mushroom5698'},mushrooms
{'name': 'stubbee101'},bee
{'name': '__d00m__'},doom
{'name': 's0uL77'},soul
{'name': 'ax1s0f3v1l'},axis
{'name': '63l06ri5'},names
{'name': 'hellow533'},see
{'name': 'W1ZARD909'},wizard
{'name': 'JavaTheHut1'},the
{'name': 'mccrush2006'},zoo
{'name': '13eefcake'},tee
{'name': 'L33TNewb'},new
{'name': 'NewGeneration17'},new
{'name': 'ak41123'},all
{'name': 'godofchaos75'},god
{'name': 'rip06'},rip
{'name': 'esc_phr34k'},hrs
{'name': 'kurtcobain515'},sis
{'name': 'milo134567'},teas
{'name': 'mug3n'},mugs
{'name': 'R0y4L91'},royal
{'name': 'apet90'},ape
{'name': 'l2eaper'},per
{'name': 'Scar0ptics'},optics
{'name': 'int3grate'},integrate
{'name': 'nu_Dj_pon3'},one
{'name': 'divide100'},too
{'name': 'FallenAngel1101'},tot
{'name': 'D4n7313'},net
{'name': 'w-hamra1987'},wham
