index,name
0,mShred
1,UltimateVolkov
2,-Ninjex-
3,TheGopher
4,Rijnzael
5,weekend hacker
6,Omelette
7,dravinistic
8,da_razr_b
9,_-- RAZOR --_
10,deathcritter
11,BhaaL
12,XsatanX
13,Romnous
14,rki
15,ScrAm
16,supermartini
17,centip3de
18,wired
19,terminus
20,memoric
21,Levels
22,Zeality
23,ajatkinson
24,DoS-man
25,newbie222
26,nuclearhaxor
27,Casval
28,frag4lot
29,Jesus_of_Suburbia
30,cyberdrain
31,darewolf
32,Misanthropydotexe
33,Shadow545
34,Goatboy
35,TheMindRapist
36,pacifico
37,Eno2008
38,comperr
39,Karec
40,tgoe
41,husni
42,ximi
43,surgy
44,karunkun
45,Kataclysmic
46,Crystal_Bearer
47,GTADarkDude
48,Phoenix-Phn
49,Sonic7145
50,Ntvu
51,Zaytrox
52,ponism
53,NeoPhyte1
54,Tiksi
55,alan
56,eweb100
57,HackTilYouYack
58,beagle
59,sgtscream2
60,pretentious
61,GogaOEP
62,loka
63,evinyatar
64,root4w
65,TheTechBrony
66,JohnThomasTheHuge
67,acevic
68,tremor77
69,F-A-S-T
70,Normandy114
71,greezy612
72,AWasteofL1f3
73,pump12lover
74,krazyjoeshmo
75,Kalraken
76,novalyphe
77,tj styles1
78,cadillac22n
79,spikrak
80,p4plus2
81,codie93
82,-Unicod3-
83,Paddington_Bear
84,Missmurder18
85,roc314
86,hackuin60s
87,3nIGhost
88,alboballa23
89,Kuja
90,godfather
91,ZataniX
92,UndeadReagan
93,KSEboom
94,titaraas
95,tw1928
96,SWifty14
97,emilvr
98,grot3sq
99,patrick17
100,Wyrmkill
101,kamikazicomeback kid
102,infogverrilla
103,Kytter
104,SammyJ
105,Inferno96
106,skcuf
107,IniX
108,oohal
109,HoleSystem
110,Xaydes
111,beatson
112,TwitchyMcJoe
113,dougiek
114,FenixtheMithra
115,WackyRacer
116,e3cb
117,c24lightning
118,killergruntrgnl
119,Phantom Wolf
120,JoeyPardella
121,leonheart
122,Younix
123,digadog
124,alvanorichie
125,jojogizmojake
126,Swatrecon_
127,Oreo Killa 225 v2
128,WaffleCake
129,H4X00R K1R1T0
130,suff0beast
131,nimatramon
132,-PL4GUE-
133,Robbinski12
134,littlelew90
135,aidzbrigade
136,darkevilsta
137,ryankell
138,133794m3r
139,ex0du5
140,rfj001
141,dr raid
142,Treba10
143,schumix
